user_id,amount,time_delta,device_type,ip_region,is_fraud
1975,1196.6808383227767,27471,mobile,IN,0
1782,582.123259151533,30890,mobile,EU,0
1189,1169.7674982678961,10225,web,US,0
1957,3758.1595182738474,5466,mobile,US,0
1686,461.3579391786827,82419,pos,EU,0
1957,6077.097997994109,55215,pos,EU,0
1562,836.6927393494768,2945,pos,OTHER,0
1875,8509.542110710452,24337,mobile,OTHER,0
1566,3647.849179857242,38625,pos,IN,0
1243,3306.4717254780594,65207,pos,OTHER,0
1831,765.1717127604934,44765,pos,IN,0
1504,17.631917128352008,45421,pos,IN,0
1130,962.9638149579899,65672,web,EU,0
1484,718.5262082831402,15774,mobile,OTHER,0
1818,76.22839118969277,26448,mobile,US,0
1646,1407.8713614417331,4034,pos,US,1
1020,1031.7812293494815,55853,mobile,EU,0
1840,2013.2870124653298,20498,pos,US,0
1166,1941.4216201398897,79715,pos,US,0
1273,257.36436305959523,72083,pos,EU,0
1387,7541.528378865665,73933,mobile,US,0
1600,413.8796607210391,20979,web,EU,0
1315,1178.5620509587657,12883,mobile,IN,0
1013,1339.3205146369614,16946,mobile,OTHER,0
1241,3353.9650650098865,56486,web,US,0
1776,209.00975496263263,68851,mobile,EU,0
1345,1119.486569355435,59871,web,US,0
1564,1980.4245133231714,18596,pos,OTHER,0
1897,484.53964991953234,84292,web,US,0
1339,1974.8641341328328,64039,pos,IN,0
1091,5145.243204302945,56127,web,EU,0
1366,11997.486886366642,35450,pos,OTHER,0
1955,65.97857746404851,18640,mobile,IN,0
1454,537.297333481434,45371,web,US,0
1427,743.017751650912,74629,mobile,US,0
1508,1018.7403683476701,71919,pos,US,0
1775,554.8224178563734,42711,web,OTHER,0
1942,455.0261539929795,54052,web,EU,0
1034,6182.454007143316,60640,web,OTHER,0
1205,5014.834717080198,3160,mobile,IN,0
1080,96.26501305381633,71193,pos,EU,0
1931,827.4372142528497,66989,mobile,OTHER,0
1561,1038.8871493140093,18707,web,US,0
1871,546.2820414649419,9863,pos,IN,0
1387,1982.4213586560231,10220,pos,US,0
1001,2045.4188735682587,34537,mobile,OTHER,1
1389,3800.9743393716,71633,mobile,IN,0
1565,2700.845178718521,77392,web,EU,0
1105,1564.2773692671801,62887,web,EU,0
1771,2120.245820621533,79997,web,OTHER,0
1821,640.3796237132862,33938,web,OTHER,0
1476,1798.1603239168085,21095,pos,EU,0
1702,1343.6610264723327,27925,web,EU,0
1401,286.22738125339964,83326,web,OTHER,0
1729,555.5803884831003,124,web,EU,0
1555,689.756599580133,53150,mobile,IN,0
1161,5162.207015337875,71446,mobile,OTHER,0
1201,523.7340386320221,31855,mobile,IN,0
1957,682.8518999434076,60797,web,US,0
1995,922.0215888220946,69433,pos,IN,0
1269,2179.7575062662504,58969,web,OTHER,0
1862,251.6670915176995,40835,mobile,US,0
1815,6155.847116931723,17112,mobile,EU,0
1270,4013.4414752346047,72576,web,IN,1
1455,1721.7880826801065,24100,pos,IN,0
1461,2241.9481242150578,69207,pos,OTHER,0
1726,33.601635813236,50294,pos,EU,0
1251,827.8357909848069,15030,mobile,OTHER,0
1701,3175.9422692629723,31812,mobile,EU,0
1295,161.29889328831197,15794,pos,OTHER,0
1724,663.445800977562,48107,web,EU,0
1719,1760.3845273247575,85663,pos,US,0
1748,592.5390861111815,84765,web,OTHER,0
1337,5435.533735092998,84132,mobile,US,0
1878,280.95925054573036,973,mobile,OTHER,0
1052,3192.9876782476335,361,mobile,OTHER,0
1791,1418.344566368064,2633,pos,OTHER,1
1921,2775.236680947404,35959,pos,IN,0
1216,744.2018536834023,80883,mobile,OTHER,0
1763,1445.1091500540504,18009,mobile,EU,0
1187,3887.519821076452,77657,mobile,IN,0
1379,1258.0103477593264,30284,pos,EU,0
1492,891.6989652656315,50909,pos,EU,0
1040,1536.4113340149706,7819,mobile,EU,0
1156,2527.1820328260865,70656,pos,EU,0
1014,1172.4038862690475,30580,pos,EU,0
1812,5589.733289750405,55179,pos,US,0
1064,698.9612675846164,57585,pos,IN,0
1856,1290.4809317737572,65021,mobile,EU,0
1838,2828.7923635230636,976,mobile,US,0
1520,2336.703602259738,63480,pos,US,0
1343,3984.929099347683,16266,mobile,EU,0
1128,11494.955110770603,63519,mobile,OTHER,0
1647,1113.2446962832403,4319,mobile,EU,0
1471,235.65555282692404,35082,web,US,0
1062,61.7760850446177,58650,mobile,EU,0
1138,2595.665384316176,43070,mobile,US,0
1498,4143.1637607351995,78671,pos,EU,0
1592,498.75069716618873,76378,pos,US,0
1391,345.0150340755709,12428,web,EU,0
1674,128.44800312954996,40252,web,OTHER,0
1418,3459.8570899684173,25166,mobile,OTHER,0
1288,746.1370022762927,67286,mobile,US,0
1378,1027.3155703023208,64928,pos,OTHER,0
1772,1397.3254931734332,73171,mobile,OTHER,0
1489,3658.340006424553,76151,mobile,IN,0
1230,2104.4111914873993,24867,mobile,EU,0
1040,1909.3596570932139,10283,mobile,EU,0
1027,386.3737825637263,20320,mobile,OTHER,0
1134,1439.7623066281483,36727,mobile,OTHER,0
1200,2513.207791092013,15413,mobile,US,0
1839,7243.255461368523,73587,mobile,EU,0
1779,449.80596945302653,24584,pos,IN,0
1929,19.17836534584478,83578,web,IN,0
1032,156.5749374774841,61923,mobile,OTHER,0
1047,942.7370091111701,6186,pos,US,0
1502,3435.657671908313,86349,mobile,US,1
1406,14.335417052141535,56390,mobile,EU,0
1573,1220.2998727790298,17424,web,OTHER,0
1727,798.6597802368838,51269,pos,OTHER,0
1804,107.81807777407327,41645,mobile,US,0
1098,1196.533410394766,36787,web,IN,0
1683,588.0676237780431,75526,web,IN,0
1871,867.3737472958014,83745,mobile,EU,0
1725,2445.735759676889,30478,mobile,OTHER,0
1986,1474.4112464282616,3572,pos,OTHER,0
1546,266.2570709768581,19577,pos,IN,0
1960,6509.759536783264,62704,mobile,OTHER,0
1738,2020.712584480937,9681,mobile,OTHER,0
1612,2903.7440763062227,25707,web,US,0
1942,165.05340549095658,79855,pos,EU,0
1461,96.40327163848133,86196,mobile,EU,0
1642,39.27930390565054,64528,mobile,EU,0
1768,418.46656792019195,70566,pos,US,0
1004,1070.265313608284,48437,mobile,EU,0
1217,5492.318427015711,2775,web,EU,0
1502,1221.5116696374353,16973,web,IN,0
1766,685.6993537065567,14049,mobile,IN,0
1397,1650.7771130319377,80226,pos,EU,0
1870,237.4197308641509,82274,web,US,0
1794,1880.6847912328026,81551,pos,US,0
1392,1680.6601704987322,76681,pos,US,0
1206,3140.3674131998496,57603,pos,OTHER,0
1014,8638.120439850083,66404,web,OTHER,0
1857,577.6947602278175,27183,web,US,0
1553,1425.2980254783683,79877,mobile,IN,0
1891,4790.835627490041,77374,pos,OTHER,0
1460,3076.0016489054724,47060,web,US,0
1690,1336.5435229235304,8788,web,OTHER,0
1574,5814.404586328019,394,mobile,OTHER,0
1863,117.8800568052747,61776,web,OTHER,1
1742,5347.2575408390185,59455,web,OTHER,0
1240,103.655068626699,12057,web,US,0
1563,1585.07220838923,61484,mobile,OTHER,0
1095,4422.583174855191,44958,mobile,EU,0
1899,609.5776402849245,28430,pos,US,0
1733,1278.2594960082886,45910,web,US,0
1484,784.0976578429115,52907,mobile,US,0
1406,6079.1140886434205,86291,mobile,OTHER,0
1230,3470.519284952993,44390,mobile,US,0
1748,2468.874410771146,20906,pos,IN,0
1654,1771.6539338829407,53731,pos,EU,0
1170,3436.183125961629,57558,pos,IN,0
1540,996.0394130608311,86114,pos,EU,0
1035,1186.791410781019,66200,pos,EU,0
1524,2618.6793887552794,47302,web,OTHER,0
1159,885.5701191843754,84753,web,EU,0
1838,132.06795391873155,47260,mobile,EU,0
1698,154.48491665437794,74802,pos,IN,0
1242,245.1553260056361,4575,pos,EU,0
1085,4075.5449386213513,56777,mobile,US,0
1795,1278.17584782418,24738,web,US,0
1577,2495.726568566098,23391,pos,EU,0
1681,998.154268679712,52331,pos,US,0
1556,598.7292905797603,71083,pos,OTHER,0
1573,852.944954369134,53643,web,US,0
1952,3161.529347261551,21281,web,OTHER,0
1645,1962.8115051456757,21038,pos,EU,0
1795,5549.655412442411,40577,pos,OTHER,0
1027,2277.0242830885936,28565,mobile,OTHER,0
1619,1688.7851179196368,85440,mobile,EU,0
1555,1884.2225066817227,28088,web,EU,0
1339,5707.473983214696,76214,mobile,OTHER,0
1797,3104.234472259948,12804,pos,IN,0
1957,48.669889723397716,46003,web,EU,0
1330,1527.7389338277253,66762,mobile,EU,0
1639,2331.674664453195,71311,web,IN,0
1505,2762.2035593845712,78580,pos,US,0
1347,479.4152609965382,16164,mobile,IN,0
1472,4037.4810655352435,68381,mobile,US,0
1230,6240.014294212952,72884,mobile,IN,0
1189,540.2483851591186,51886,pos,OTHER,0
1224,4284.600091301413,86341,web,EU,0
1384,204.01841406680742,36765,mobile,IN,0
1376,114.63721217236669,62127,web,EU,0
1282,276.740562605913,67225,web,US,0
1957,118.95035922406893,47056,web,OTHER,0
1632,3728.818229143321,51600,pos,EU,0
1627,121.73085859028498,82788,pos,IN,0
1972,633.9861230819228,78041,mobile,IN,0
1744,219.0859299152601,39721,mobile,OTHER,0
1258,700.3125769827109,44485,web,US,0
1358,189.85133619887773,38853,web,OTHER,0
1709,2205.2602030164103,13220,web,OTHER,0
1455,286.18664812844884,48866,pos,EU,0
1410,3819.0050101938673,54458,pos,US,0
1648,3398.627329045586,36818,mobile,OTHER,0
1317,27.511730094235933,68994,web,EU,0
1676,4521.473276818638,52381,web,EU,0
1224,58.74293207147057,50401,pos,US,0
1818,547.941763711019,36259,mobile,US,0
1233,65.85054872932999,81007,web,EU,0
1683,818.4748899825873,48958,web,US,0
1663,1442.544108675641,18282,mobile,EU,0
1974,3185.6028293273444,77265,web,US,1
1826,824.9237081051212,51332,pos,US,0
1373,2444.884808772879,45681,mobile,US,0
1671,415.28970095637965,38724,web,IN,0
1607,2777.3821157619054,10163,web,US,0
1471,538.3660945966171,51096,pos,IN,0
1232,309.9064340836948,11339,pos,EU,0
1691,410.13789702775114,11676,pos,OTHER,0
1112,401.94024005940616,20081,web,OTHER,0
1829,1438.4192673528394,13937,web,OTHER,0
1496,3726.0501724530814,10020,web,EU,0
1441,165.90487381592507,67283,mobile,US,0
1563,2454.8671948734714,49682,pos,IN,0
1267,2124.636668130308,73862,mobile,EU,0
1509,4119.5908231297535,4487,pos,OTHER,0
1806,559.8182154190793,82022,web,OTHER,0
1385,1196.0735275412264,79865,mobile,OTHER,0
1386,5202.720249379233,19113,mobile,OTHER,0
1112,2157.5807944991875,51698,pos,IN,0
1612,984.5587238754537,55999,mobile,OTHER,0
1624,281.7736301817465,26577,mobile,IN,0
1951,608.9377254087872,50101,web,OTHER,0
1080,1740.797514849205,81239,pos,EU,0
1698,2532.887888369583,21321,mobile,IN,0
1112,265.7418201009478,83974,web,IN,0
1001,1830.5687770353338,65730,mobile,EU,0
1641,1598.5772414032144,84880,web,OTHER,0
1219,1442.9099716149806,29145,mobile,OTHER,0
1565,2343.160428404674,57327,web,US,0
1854,3633.534282415429,77149,web,US,0
1996,780.1375343124768,19308,pos,IN,0
1735,4396.6698090400105,60599,web,US,0
1224,350.21594501817424,19624,mobile,EU,0
1384,379.95889487130023,20250,web,EU,0
1402,620.59732351306,73766,web,EU,0
1637,254.60082154256426,72132,mobile,IN,0
1129,523.5588552113066,38378,mobile,EU,0
1052,225.0203896258807,52366,web,IN,0
1683,3449.163558609989,34552,mobile,IN,0
1729,299.2495222678725,42927,web,EU,1
1671,2751.0851985203403,38600,web,EU,0
1709,98.19954680484994,22594,web,IN,0
1415,5933.136516477224,60335,mobile,EU,0
1246,2483.765360862427,59894,pos,US,0
1835,13.639500619949521,42637,pos,IN,0
1438,2886.631217489863,69226,web,OTHER,0
1202,1443.4304610739637,40364,web,IN,0
1183,3022.4925971304533,55960,mobile,EU,0
1122,1478.3688722640716,80224,pos,EU,0
1400,2049.004268430514,85918,pos,IN,0
1766,3086.6605153901573,1121,pos,IN,0
1293,1038.7509885558256,16492,mobile,OTHER,0
1279,5.42364698449033,43639,mobile,OTHER,0
1836,3793.526709574423,39063,mobile,IN,0
1883,958.9458036548901,5194,web,EU,0
1609,1370.5275766934008,15214,mobile,IN,0
1197,15.59391919530938,79767,web,US,0
1981,1354.9099410895444,83960,web,US,0
1906,8608.265623610016,17188,web,EU,0
1510,652.2018603581944,10041,web,IN,0
1751,1006.4368316408608,66303,mobile,IN,0
1143,2324.3185804469795,29950,mobile,US,0
1608,3372.5695294355614,3528,pos,IN,1
1200,1080.4801152792431,76558,pos,EU,0
1123,741.1677970717878,83409,web,EU,0
1186,5555.630312086381,77295,pos,OTHER,0
1325,2261.1037394625273,18758,pos,EU,0
1463,253.44367101981447,25413,pos,IN,0
1348,142.83707522118198,14313,web,IN,0
1770,1321.5530232310896,22120,pos,US,0
1659,497.1536705139328,11805,mobile,US,0
1763,586.018482307571,53987,web,EU,0
1954,4202.428575242327,46546,mobile,OTHER,0
1931,187.6677935889304,76520,web,IN,0
1402,2513.0890256620955,30000,mobile,OTHER,0
1345,632.5534019351531,39759,pos,IN,0
1962,2856.969761655234,69520,web,EU,0
1510,2563.230123011592,3769,mobile,EU,0
1146,14.838713860556428,1505,web,US,0
1147,1423.1739585780933,67987,mobile,OTHER,0
1863,300.06380617321764,76773,pos,US,0
1710,4023.222347918827,8003,web,EU,0
1819,4104.98989443098,75428,web,OTHER,0
1488,1083.7583575833728,38788,mobile,IN,0
1928,1175.397563951763,13899,mobile,US,0
1935,722.7517790490424,10473,pos,EU,0
1639,2521.836356732932,80801,mobile,IN,0
1550,888.3953334990509,83228,mobile,EU,0
1337,623.382600900406,32633,mobile,IN,0
1871,1132.0814758535623,33744,pos,US,0
1640,191.89330507266666,78539,pos,IN,0
1778,2745.5973155166994,43387,web,OTHER,0
1987,25.352817026405955,43389,pos,IN,0
1952,2068.3760191651672,21324,mobile,EU,0
1472,403.90075988582805,69270,web,IN,0
1945,528.9835722325608,41320,pos,US,0
1150,2019.1818586144686,67760,pos,EU,0
1414,9907.602504208695,16869,mobile,EU,0
1989,3007.612268795436,2081,mobile,EU,0
1297,511.9524666883826,13777,pos,EU,0
1610,387.2295840991978,66232,web,OTHER,0
1262,4023.3096572831128,55453,mobile,EU,0
1763,1174.6357621142904,53813,pos,EU,0
1143,294.803549942487,63272,pos,EU,0
1345,3964.0696433515823,77586,mobile,US,0
1623,3386.643130776902,58543,web,US,0
1571,8258.66271649696,15629,web,EU,0
1880,4810.203461787409,8266,web,OTHER,0
1001,3818.2547540411815,24672,mobile,IN,0
1896,108.01373045115027,12461,mobile,OTHER,0
1303,220.5571110474516,3478,mobile,EU,0
1253,1683.2163946094975,2203,web,EU,1
1651,1516.3497601205913,11851,web,OTHER,0
1452,1224.8428198000897,20810,mobile,EU,0
1036,1010.9775317022292,70887,mobile,IN,0
1159,1128.4896679375672,2807,mobile,US,0
1008,1684.6773808083872,7164,web,IN,0
1232,4.157353104010258,186,pos,IN,0
1098,604.1267093048746,24719,pos,IN,0
1658,1460.7833335383975,77082,web,OTHER,0
1815,2561.8236018603466,56203,mobile,OTHER,0
1207,382.70044738616406,25216,mobile,IN,0
1130,1583.2017567524292,28326,mobile,OTHER,0
1403,2506.7440950931923,18459,mobile,EU,0
1151,1176.2330070758603,16007,web,US,0
1053,54.909170679432236,32970,pos,OTHER,0
1119,1193.0145285512149,76821,pos,OTHER,0
1672,703.2181308050384,27656,web,IN,0
1919,5308.533838104945,81235,mobile,US,0
1627,266.1792905403989,9103,pos,EU,0
1586,2113.842847172114,67108,web,EU,0
1624,108.32062457905627,21554,mobile,US,0
1967,1181.7965781001299,84080,pos,EU,0
1419,1614.7806704792401,79571,web,US,0
1421,707.5153532275161,66866,pos,IN,0
1103,1214.2165494423657,41421,pos,EU,0
1851,357.1861393699296,25383,web,EU,0
1253,725.1671582394517,69236,web,US,0
1226,1940.9993078375387,38796,pos,EU,0
1111,718.499528637176,51426,pos,OTHER,0
1509,4600.038343751624,57403,web,IN,0
1472,1979.911991372992,62540,mobile,EU,0
1098,1154.8178670026268,76204,mobile,EU,0
1152,79.05594665840923,23460,mobile,EU,0
1860,1384.4885174518438,49650,mobile,US,0
1913,2894.436113372101,72496,web,IN,0
1895,617.2874088627324,46385,mobile,IN,0
1877,3287.7851270003885,71747,pos,EU,0
1337,580.1880004272136,78054,mobile,EU,0
1705,3471.6626872071765,56279,web,US,0
1821,178.2490524789804,78157,mobile,IN,0
1162,4022.5747627364267,36745,mobile,OTHER,0
1719,1383.0428094332758,30569,web,EU,0
1956,703.4816723025725,17992,mobile,OTHER,0
1680,616.077747677326,8913,web,OTHER,0
1995,1131.3049001998143,32528,mobile,IN,0
1160,13917.040801849284,50427,web,OTHER,0
1579,497.76236517670753,20408,mobile,EU,0
1800,217.8819443180053,12345,pos,EU,0
1397,1759.1230124855922,2356,pos,US,1
1276,1340.9814407613912,54734,web,IN,0
1815,1485.4996879008743,66286,web,IN,0
1915,2198.8377330725034,84972,web,OTHER,0
1503,621.6122893365252,45734,pos,EU,0
1895,4830.723757850163,56916,web,EU,0
1391,1144.239506822012,52717,mobile,US,0
1134,276.4245363091593,38527,web,OTHER,0
1194,2711.90867372985,18089,web,EU,0
1400,2060.623688366788,65378,mobile,IN,0
1639,758.8445782815379,44406,mobile,US,0
1032,1943.177352749261,38843,pos,IN,0
1687,496.5687918866112,61789,mobile,US,0
1459,1176.9955289729257,51530,mobile,IN,0
1954,4593.455007776877,52384,web,OTHER,0
1882,286.66535601071087,39178,pos,EU,0
1469,977.7905559768903,39057,mobile,IN,0
1374,3442.3309173651805,66422,pos,OTHER,0
1021,6979.460519499924,33633,mobile,IN,0
1749,1210.0020622163138,39686,pos,OTHER,0
1669,1414.4906688788685,77223,mobile,US,0
1037,1698.0678880082369,68591,web,OTHER,0
1229,5386.760908870675,8978,pos,IN,0
1364,3906.7711145305484,48968,pos,EU,0
1562,374.10817423362784,74073,mobile,US,0
1437,1148.0911593087842,15071,pos,US,0
1775,1247.2438335711674,82474,mobile,OTHER,0
1282,3112.705509449069,21501,pos,IN,0
1026,1847.0984351485308,10012,pos,OTHER,0
1225,2123.9077609999413,48040,web,US,0
1276,12639.83463703311,8897,web,EU,0
1797,155.83669230801684,80119,pos,OTHER,0
1608,504.6551431899381,39959,web,IN,0
1283,1048.145756157803,41913,pos,OTHER,0
1878,854.7540701568536,815,mobile,OTHER,0
1959,43.766525783861304,75277,pos,OTHER,0
1480,192.53200715330993,24720,pos,EU,0
1452,2284.8355299671484,20151,web,IN,0
1828,4229.299700961964,70495,web,IN,0
1815,1444.0277311555915,3826,mobile,US,0
1658,1549.5436221869197,50369,mobile,US,0
1515,588.9929633305898,14801,mobile,OTHER,0
1546,2920.9702677857226,75536,pos,US,0
1191,2786.997197808221,86391,mobile,IN,0
1048,1775.2398379339045,75018,mobile,OTHER,0
1511,478.20109567649763,48506,web,US,0
1016,204.1058020070929,57900,web,EU,0
1171,132.78944746089098,82783,mobile,US,0
1219,1796.3912144491576,22602,mobile,EU,0
1157,3486.3422982018087,10678,pos,US,0
1476,3908.515834778322,29553,pos,IN,0
1045,1245.8325623739565,67892,web,US,0
1372,3067.467352110367,74694,mobile,EU,0
1517,5870.410939999395,33293,mobile,EU,0
1098,643.636579147642,66098,mobile,US,0
1891,1014.8639320864585,73704,mobile,OTHER,0
1744,5361.22980661829,16185,mobile,EU,0
1036,825.677354302117,61047,pos,IN,0
1279,4903.941063452499,66742,pos,US,0
1348,7931.360526128045,61378,mobile,EU,0
1496,2168.2991311890532,12040,pos,US,0
1301,3395.339589738807,45162,pos,US,0
1180,2768.9565361998357,35007,mobile,OTHER,0
1606,2404.8430671078686,17545,pos,US,0
1098,733.2516459013725,12988,mobile,US,0
1699,117.5780831046762,5240,pos,US,0
1992,840.3000082293916,44786,mobile,IN,0
1115,2198.841141703761,23359,mobile,US,0
1190,216.34938398650903,82675,pos,IN,0
1252,23.979142999511343,56451,pos,US,0
1980,300.93049484113635,28429,web,OTHER,0
1927,2515.703272538936,9097,mobile,OTHER,0
1982,7208.613551473855,47583,mobile,EU,0
1160,8156.710110666549,24537,mobile,US,0
1255,1362.354806621672,57396,mobile,OTHER,0
1322,4070.5017981046635,68158,pos,OTHER,1
1127,2669.883200712431,69485,pos,US,0
1017,1390.4596434430005,1288,web,EU,0
1792,1700.8212203973226,54511,mobile,IN,0
1734,295.20765671346106,23903,web,OTHER,0
1565,5550.3508695266155,56189,web,OTHER,0
1569,867.5124200040865,21165,web,IN,0
1322,1181.7200890430618,81205,web,OTHER,0
1871,2227.4126512972543,1773,web,IN,0
1685,812.6383600271902,53055,pos,IN,0
1791,586.7542798509216,54879,pos,EU,0
1625,1994.18500200428,32239,web,IN,0
1287,50.60296450557112,58294,pos,IN,0
1942,2551.1174413184754,81299,pos,IN,0
1853,1443.189484806956,7214,web,IN,0
1662,1861.5590310139796,14942,pos,OTHER,0
1961,1998.6934792132236,15965,pos,IN,0
1638,1497.5318704181516,26856,mobile,OTHER,0
1154,1747.1032840276062,58770,web,US,0
1489,2302.6860791283507,83505,mobile,US,0
1385,2797.6964416416185,1047,mobile,IN,0
1985,2599.8839385247684,14910,web,EU,0
1784,4074.5496941158412,79115,mobile,EU,0
1103,420.06829545558026,23369,mobile,OTHER,0
1928,1025.481477830461,71256,pos,OTHER,0
1392,5905.194846451054,81497,mobile,US,0
1810,1010.3186630822909,15625,web,OTHER,0
1245,266.76584022204673,10353,pos,EU,0
1175,1490.756044877463,80540,pos,US,0
1038,231.92407760359433,9224,pos,IN,0
1476,453.432950041743,78255,web,OTHER,0
1681,12776.44324599499,66852,web,IN,0
1758,1558.990886100322,50045,web,OTHER,0
1537,668.3133285718673,85001,mobile,EU,0
1866,10508.583574359574,31420,mobile,OTHER,0
1817,6795.9403028608,13768,pos,EU,0
1920,1162.2781661344306,72003,pos,EU,0
1407,603.2999656296328,31029,web,IN,0
1524,3645.2577867382447,47954,web,OTHER,0
1827,2514.8928563844497,57966,mobile,IN,0
1505,2322.729994659269,69777,mobile,EU,0
1902,4471.980025844811,31460,web,EU,0
1824,2338.6090671463476,82332,web,EU,0
1035,667.5858987543556,24690,mobile,EU,0
1684,2367.4461871476415,80447,pos,US,0
1019,730.0292776866937,67983,pos,EU,0
1320,2847.9009086054425,3347,mobile,OTHER,0
1775,1933.8414109918147,45180,mobile,EU,0
1511,161.14405811239652,40518,pos,US,0
1399,1438.3062964313556,69679,mobile,OTHER,0
1653,841.058923287966,81607,pos,US,0
1971,796.6929100953503,72624,pos,US,0
1882,1843.894913922893,81172,mobile,OTHER,0
1470,778.174395961686,58917,web,US,0
1142,3000.214311093272,48576,web,EU,0
1091,146.84412322006398,45040,web,IN,0
1353,2159.9044653384767,49956,web,IN,0
1833,3313.0045716707014,80261,web,IN,0
1799,2234.561061558084,55872,web,OTHER,0
1726,1375.241737657114,60679,web,OTHER,0
1958,6003.782954580922,31352,mobile,OTHER,0
1853,713.1741521643471,60694,mobile,IN,0
1050,38.70794646389009,31434,web,IN,0
1664,1131.23029644761,74798,mobile,OTHER,0
1697,67.13825366366605,79016,pos,IN,0
1574,6155.47976357283,15805,web,US,0
1189,471.23719868443476,45102,pos,US,0
1124,3111.1026944780015,60116,mobile,IN,0
1149,2979.509660902307,78364,web,OTHER,0
1313,491.1078458353089,44701,pos,EU,1
1569,1941.6339166988469,77577,mobile,EU,0
1341,98.54639544425966,19478,web,IN,0
1304,1321.648813718839,16128,web,EU,0
1691,29.510911082210445,26050,pos,OTHER,0
1681,5080.260710304572,12474,pos,US,0
1837,7466.584458853744,82246,pos,US,0
1782,502.7845482637078,61837,mobile,OTHER,0
1053,466.6555563936845,42465,pos,EU,0
1443,2802.5737917112338,13715,pos,IN,0
1612,584.3962391301665,60879,pos,US,0
1992,4509.048659294887,34209,web,EU,0
1263,1706.299198835533,74684,pos,EU,0
1052,863.9599507498053,81804,pos,US,0
1571,3575.8585836559137,41515,mobile,US,0
1619,1360.093535484893,5137,mobile,IN,0
1004,4852.511411376815,31517,pos,OTHER,0
1102,5262.573823740429,76983,mobile,EU,0
1195,361.6537139371923,63879,mobile,IN,0
1773,4.652218856010793,45100,mobile,US,0
1876,8261.71920778763,13189,web,OTHER,0
1991,4731.849436908223,51189,pos,OTHER,0
1883,114.08322281372448,5561,pos,EU,0
1349,3579.933321832246,36398,pos,OTHER,0
1046,1224.258878529512,77194,mobile,US,0
1866,599.4056798948,38083,mobile,US,0
1822,4219.744157739617,84377,mobile,US,0
1935,437.97249077218703,41431,web,IN,0
1819,5886.279624860796,50523,mobile,US,0
1655,460.39043116789816,40398,web,IN,0
1268,1902.1949779497472,76861,pos,US,0
1369,504.8520948757214,25248,mobile,US,0
1635,1577.857068560529,83095,web,OTHER,0
1105,2303.868731383884,19944,web,EU,0
1669,422.00493397840137,39461,mobile,US,0
1658,1471.6325210382367,41987,web,OTHER,0
1656,1266.211554092,44515,mobile,OTHER,0
1119,147.37364472207477,80909,web,EU,0
1830,3410.8826593723093,52386,pos,OTHER,0
1786,817.9898631513676,12632,pos,OTHER,0
1603,1709.3670567308911,67009,pos,EU,0
1057,1446.3232210926099,26956,mobile,IN,0
1950,1440.0524320022082,47368,pos,EU,0
1345,226.83554157700559,30803,pos,EU,0
1740,1101.4974658141969,70409,pos,US,0
1473,1204.298969438945,43342,mobile,US,0
1116,2645.834330852857,13692,web,IN,0
1829,3665.3983403596117,4754,mobile,EU,0
1790,1574.837823117917,1834,mobile,EU,0
1126,181.56339668645694,8646,pos,IN,0
1392,540.5999618259862,40025,web,US,0
1907,360.4890949903595,80599,pos,EU,0
1640,266.1831231610427,9636,pos,IN,0
1057,911.095004340334,20065,mobile,US,0
